feature,horizon,BTCUSDT,ETHUSDT,SOLUSDT,ic_avg,ic_min_abs,same_sign
roc_48h,fwd_1h,-0.0063541256426223785,0.013366294531070352,-0.00608113657255907,0.0003103441052963012,0.00608113657255907,False
roc_48h,fwd_24h,-0.03177497093270471,0.026594660267463644,-0.0948780590082622,-0.03335278989116775,0.026594660267463644,False
roc_48h,fwd_3h,-0.00801243213208557,0.02706850319102812,-0.00695764802425982,0.004032807678227578,0.00695764802425982,False
roc_48h,fwd_48h,0.018700289378761746,0.007286878304875804,-0.17837822560558927,-0.05079701930731725,0.007286878304875804,False
roc_48h,fwd_6h,-0.017477684549651467,0.029784233311444766,-0.01662511800679388,-0.00143952308166686,0.01662511800679388,False
roc_48h,fwd_72h,0.05221345045148196,0.023246205762205256,-0.14596637925778005,-0.02350224101469761,0.023246205762205256,False
roc_6h,fwd_12h,-0.01766796803525098,0.021708085505897753,0.03670296600217073,0.013581027824272502,0.01766796803525098,False
roc_6h,fwd_168h,0.02045745998456797,0.017173108044558252,-0.0035779425571452065,0.011350875157327004,0.0035779425571452065,False
roc_6h,fwd_1h,0.01633828074201666,0.020393750354645114,0.01550394649487149,0.017411992530511088,0.01550394649487149,True
roc_6h,fwd_24h,-0.012620091915951438,0.03721708392962064,0.0521423310677234,0.025579774360464203,0.012620091915951438,False
roc_6h,fwd_3h,0.02573056045267891,0.03803316346333722,0.03193906288815782,0.031900928934724654,0.02573056045267891,True
roc_6h,fwd_48h,-0.013979519058374764,0.02849209947173955,-0.016943342868595907,-0.0008102541517437072,0.013979519058374764,False
roc_6h,fwd_6h,0.0029186449886451846,0.01002869167817694,0.03876467145515674,0.01723733604065962,0.0029186449886451846,True
roc_6h,fwd_72h,-0.019348943978103033,-0.006622766324424307,-0.07489687742647166,-0.033622862576333006,0.006622766324424307,True
roc_72h,fwd_12h,-0.007703982667252951,0.008232588862831465,-0.09665381132883226,-0.032041735044417916,0.007703982667252951,False
roc_72h,fwd_168h,-0.008348739758333442,0.01936177049249527,-0.1346336311620224,-0.04120686680928686,0.008348739758333442,False
roc_72h,fwd_1h,-0.009124654937842683,0.002998985125805051,-0.02853776545136901,-0.011554478421135548,0.002998985125805051,False
roc_72h,fwd_24h,0.03975939695326032,0.03094371856715494,-0.12016585421473142,-0.01648757956477205,0.03094371856715494,False
roc_72h,fwd_3h,-0.016289965323903224,0.001178464468957835,-0.052052370246095964,-0.02238795703368045,0.001178464468957835,False
roc_72h,fwd_48h,0.06379609719284537,0.03519502486352429,-0.14035802402016634,-0.013788967321265555,0.03519502486352429,False
roc_72h,fwd_6h,-0.019429882796021678,-0.0039245871260449655,-0.07424556025816167,-0.03253334339340944,0.0039245871260449655,True
roc_72h,fwd_72h,0.08727438743956717,0.03803201769707101,-0.10184684563382271,0.007819853167605159,0.03803201769707101,False
rv_24h,fwd_12h,-0.12605707987326928,-0.032094968741229565,-0.11948977797650157,-0.09254727553033347,0.032094968741229565,True
rv_24h,fwd_168h,-0.11586066341354943,-0.00428511032413794,-0.03786650158739116,-0.05267075844169284,0.00428511032413794,True
rv_24h,fwd_1h,-0.04302553086585693,-0.012335932528762021,-0.027290071646765918,-0.02755051168046162,0.012335932528762021,True
